VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	��������
14003	FACILITY	gongjakso	Fabrication Facility	-527.925964355	-411.1043396	527.925964355	411.104217529	0	0	360	20000000	"90010,15/90011,25/90012,30"	0	0	0	2
14013	FACILITY	jedan	Weapon Factory	-232.00828552246094	-231.83843994140625	219.21836853027344	226.84707641601562	0	0	360	20000000	"90010,20/90011,30/90012,20"	20044	2	1	1
14014	FACILITY	jedan	Armor Factory	-232.00828552246094	-231.83843994140625	219.21836853027344	226.84707641601562	0	0	360	20000000	"90010,20/90011,30/90012,20"	20045	2	1	1
14015	FACILITY	jedan	Accessory Factory	-232.00828552246094	-231.83843994140625	219.21836853027344	226.84707641601562	0	0	360	20000000	"90010,20/90011,30/90012,20"	20046	2	1	1
//14023	FACILITY	saryeongbu	Command Centre	-456.73	-495.09	456.73	530.3	0	0	360	20000000	"90010,30/90011,35/90012,35"	0	0	0	0
14033	FACILITY	suryeonjang	Training Centre	-999.999511719	-999.999633789	999.999572754	999.999572754	0	0	360	20000000	"90010,25/90011,25/90012,25"	0	0	0	2

14043	FACILITY	yonggwangro	Diamond Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20060	3	1	1
//14044	FACILITY	yonggwangro	Amber Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20061	3	1	0
14045	FACILITY	yonggwangro	Fossil Wood Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20062	3	1	1
14046	FACILITY	yonggwangro	Copper Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20063	3	1	1
14047	FACILITY	yonggwangro	Silver Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20064	3	1	1
